name_id	domain	kingdom	phylum	class	order	family
25885	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae
25887	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25888	Eukarya	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae
25889	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25890	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25895	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
25918	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25920	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
25922	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
25923	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae
25924	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
25925	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
25926	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25930	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25933	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae
25935	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
25943	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae
25944	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae
25948	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
25952	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
25959	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
25960	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
25961	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae
25962	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae
25975	Eukarya	Fungi	Ascomycota			
25976	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae
25978	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae
25979	Eukarya	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae
25981	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
25982	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
25983	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae
25986	Eukarya	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae
26010	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Battarreaceae
26012	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
26013	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
26014	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26015	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae
26019	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae
26021	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26022	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26026	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae
26028	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
26033	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26034	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26037	Eukarya	Plantae				
26038	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae
26039	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26040	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26041	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26044	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26046	Eukarya	Animalia				
26048	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26049	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae
26051	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
26052	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae
26053	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
26056	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
26057	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae
26063	Eukarya	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae
26064	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
26065	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
26070	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26071	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26073	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
26078	Eukarya	Protozoa	Myxomycota	Ceratiomyxomycetes	Ceratiomyxales	Ceratiomyxaceae
26080	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
26083	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae
26084	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
26087	Eukarya	Plantae	Magnoliophyta			
26088	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae
26093	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae
26104	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
