id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
265	Ganoderma applanatum	(Pers.) Pat.	0	NULL	6080	4
266	Galerina autumnalis	(Peck) A.H. Sm. & Singer	1	NULL	9417	4
267	Fuligo septica	(L.) F.H. Wigg.	0	NULL	10059	4
268	Fomitopsis pinicola	(Sw.) P. Karst.	0	NULL	4616	4
269	Fomitopsis cajanderi	(P. Karst.) Kotl. & Pouzar	1	NULL	5770	4
270	Floccularia albolanaripes	(G.F. Atk.) Redhead	0	NULL	503	4
271	Flammulina velutipes	(Curtis) Singer	0	NULL	NULL	4
272	Exidia glandulosa	(Bull.) Fr.	0	NULL	NULL	4
273	Entoloma	P. Kumm.	0	NULL	8903	9
274	Entoloma ferruginans	Peck	0	NULL	NULL	4
275	Echinodontium tinctorium	(Ellis & Everh.) Ellis & Everh.	0	NULL	NULL	4
276	Dacrymyces palmatus	(Schwein.) Burt	1	NULL	3155	4
277	Cystoderma fallax	A.H. Sm. & Singer	1	NULL	4099	4
278	Cystoderma cinnabarinum	(Alb. & Schwein.) Fayod	1	NULL	617	4
279	Cyathus poeppigii	Tul. & C. Tul.	0	NULL	NULL	4
280	Cyathus olla	(Batsch) Pers.	0	NULL	2861	4
281	Crepidotus mollis	(Schaeff.) Staude	0	NULL	NULL	4
282	Crepidotus crocophyllus	(Berk.) Sacc.	0	NULL	NULL	4
283	Craterellus tubaeformis	(Fr.) Quél.	0	NULL	5573	4
284	Craterellus cornucopioides	(L.) Pers.	0	NULL	3113	4
285	Cortinarius varius	(Schaeff.) Fr.	0	NULL	NULL	4
286	Cortinarius vanduzerensis	A.H. Sm. & Trappe	0	NULL	9697	4
287	Cortinarius subfoetidus	A.H. Sm.	0	NULL	NULL	4
288	Cortinarius collinitus	(Pers.) Fr.	0	NULL	5856	4
289	Cortinarius collinitus group		0	NULL	NULL	16
290	Cortinarius sodagnitus	Rob. Henry	0	NULL	NULL	4
292	Cortinarius magnivelatus	Dearn. ex Fogel	0	NULL	NULL	4
293	Cortinarius iodes	Berk. & M.A. Curtis	0	NULL	92	4
294	Cortinarius cotoneus	Fr.	0	NULL	NULL	4
295	Cortinarius calyptratus	A.H. Sm.	1	NULL	10173	4
296	Coprinus comatus	(O.F. Müll.) Pers.	0	NULL	2669	4
297	Coprinopsis	P. Karst.	0	NULL	9331	9
298	Coprinopsis atramentaria	(Bull.) Redhead, Vilgalys & Moncalvo	0	NULL	83	4
299	Coprinellus	P. Karst.	0	NULL	9293	9
300	Coprinellus micaceus	(Bull.) Vilgalys, Hopple & Jacq. Johnson	0	NULL	6324	4
301	Conocybe tenera	(Schaeff.) Kühner	0	NULL	81	4
302	Conocybe lactea	(J.E. Lange) Métrod	1	NULL	10057	4
303	Conocybe filaris	(Fr.) Kühner	1	NULL	609	4
304	Coltricia cinnamomea	(Jacq.) Murrill	0	NULL	NULL	4
305	Clitopilus prunulus	(Scop.) P. Kumm.	0	NULL	78	4
306	Clitocybe	(Fr.) Staude	0	NULL	2612	9
307	Clitocybe sclerotoidea	(Morse) H.E. Bigelow	0	NULL	587	4
308	Clitocybe parilis	(Fr.) Gillet	0	NULL	NULL	4
309	Clitocybe odora	(Bull.) P. Kumm.	0	NULL	4768	4
310	Clitocybe nebularis	(Batsch) Quél.	1	5314	594	4
311	Clitocybe metachroa	(Fr.) P. Kumm.	0	NULL	3475	4
312	Clitocybe densifolia	(J. Favre) H.E. Bigelow & A.H. Sm.	0	NULL	3406	4
313	Clitocybe fragrans	(With.) P. Kumm.	0	NULL	64	4
314	Clitocybe clavipes	(Pers.) P. Kumm.	1	NULL	590	4
315	Clitocybe brunneocephala	H.E. Bigelow	1	NULL	10193	4
316	Clavulinopsis laeticolor	(Berk. & M.A. Curtis) R.H. Petersen	0	NULL	74	4
